4.1,10000
3.9,500000
4.7,5000000
4.5,50000000
4.3,100000
4.4,50000
3.8,50000
4.1,1000000
4.4,1000000
4.7,10000
4.4,1000000
4.4,1000000
4.2,10000000
4.6,100000
4.4,100000
3.2,5000
4.7,500000
4.5,10000
4.3,5000000
4.6,10000000
4,100000
4.1,100000
4.7,500000
4.7,50000
4.8,10000
4.7,500000
4.1,100000
3.9,10000
4.1,100000
4.2,100000
4.1,50000
4.5,100000
4.2,100000
4.7,10000
3.8,100000
4.7,500000
4.1,5000000
4.7,10000
4,500000
4.2,10000
4.5,100000
4.4,10000000
3.8,100000
4.2,10000
4.7,10000000
4.6,100000
4.2,100000
4.3,100000
4.2,100000
4,1000000
3.8,100000
4.6,1000000
3.9,100000
4.3,100000
4.9,100000
4.4,50000
4.2,100000
4,100000
3.9,100000
4.6,10000
4.9,100000
4.3,1000000
4.6,100000
4.9,100000
3.9,10000
4,50000
4.3,5000000
3.9,100000
4.2,5000000
4.8,5000000
3.6,500000
4.2,10000000
4.8,100000
4.8,500000
4.6,50000
4.5,100000
4.3,1000000
4.5,100000
4.9,1000000
3.9,50000
4.4,1000000
4,500000
4.3,100000
3.7,1000000
4.4,1000000
4.3,100000
3.2,100000
4.6,1000000
4.6,100000
4.5,100000
3.7,1000000
4.6,1000000
4.6,1000000
4.6,1000000
4,500000
4.4,500000
4,100000
4.7,500000
4.9,1000000
4.7,100000
3.9,500000
3.9,1000000
4.2,500000
4.6,100000
4.3,1000000
4.7,50000
4.7,1000000
4.8,10000
4.2,1000000
4.3,100000
4.5,10000
4.1,50000
4.2,10000
4.5,10000
4.4,10000
4,10000000
4.1,500000
4.1,1000000
4.4,50000
4.6,10000
4.5,1000000
3.9,500000
4.4,500000
4.6,10000
3.8,5000
4,100000
4.3,5000
4.5,100000
4.1,10000
3.7,1000000
4.7,50000
4.2,10000
4.6,100000000
4.5,50000
4.6,100000
4.4,10000000
4.2,100000000
4.5,10000000
4.5,10000000
4.5,10000000
4.5,100000
4.4,1000000
4.5,10000000
4.6,500000
4.8,1000000
3.9,1000000000
4.6,5000000
4.2,100000
4.1,10000000
4.7,500000
4.2,10000000
4.3,1000000
3.3,1000000
4.6,500000
4.8,1000000
4.7,500000
4.1,5000000
4.6,100000
